"رقم الموظف ",الجنس,الجنسية,"الفئة العمرية ",الجهة,الكادر الوظيفي,المرتبة الوظيفية,المسمى الوظيفي,المقر,المنطقة الإدارية,تصنيف العملية,السنة,الشهر,"اليوم "
1,أنثى,سعودي,41-45,إمارة منطقة المدينة المنورة,لم يحدد,لم يحدد,كاتب,المدينةالمنورة,المدينةالمنورة,التعاقد,1445,9,22
2,أنثى,سعودي,41-45,الأمن العام,لم يحدد,لم يحدد,مفتشة نساء,محايل عسير,ابها,التعاقد,1445,9,22
3,ذكر,سعودي,31-35,الجامعة الإسلامية بالمدينة المنورة,لم يحدد,لم يحدد,محاضر,المدينةالمنورة,المدينةالمنورة,التعاقد,1445,9,22
4,ذكر,سعودي,31-35,بلدية طبرجل,لم يحدد,لم يحدد,مراقب خدمات,طبرجل,الجوف,التعاقد,1445,9,22
5,أنثى,سعودي,31-35,وزارة البلديات والإسكان,المتعاقدين,متعاقد,أخصائي استشارات أعمال متقدم أول,الرياض,الرياض,التعاقد,1445,9,22
6,ذكر,سعودي,57-61,وزارة البلديات والإسكان,المتعاقدين,متعاقد,أخصائي استشارات أعمال متقدم أول,الرياض,الرياض,التعاقد,1445,9,22
7,أنثى,سعودي,36-40,وزارة البلديات والإسكان,المتعاقدين,متعاقد,مدير إداري,الرياض,الرياض,التعاقد,1445,9,22
8,ذكر,سعودي,26-30,وزارة البلديات والإسكان,المتعاقدين,متعاقد,مدير إداري,الرياض,الرياض,التعاقد,1445,9,22
9,ذكر,سعودي,36-40,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,أمين مستودع,ابها,ابها,التعاقد,1445,9,22
10,أنثى,سعودي,26-30,وزارة البيئة والمياه والزراعة,لم يحدد,لم يحدد,مساعد إداري,احد رفيده,ابها,التعاقد,1445,9,22
11,أنثى,سعودي,36-40,وزارة التعليم,الموظفين,السادسة,كاتب,الطائف,مكة المكرمة,التعيين,1445,9,22
12,ذكر,سعودي,41-45,وزارة التعليم,المتعاقدين,متعاقد,مستشار,الرياض,الرياض,التعاقد,1445,9,22
13,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الرياض,الرياض,التعاقد,1445,9,22
14,أنثى,سعودي,36-40,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الرياض,الرياض,التعاقد,1445,9,22
15,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الرياض,الرياض,التعاقد,1445,9,22
16,أنثى,سعودي,41-45,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,عفيف,الرياض,التعاقد,1445,9,22
17,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,الرس,بريده,التعاقد,1445,9,22
18,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,صامطه,جازان,التعاقد,1445,9,22
19,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,حائل,حائل,التعاقد,1445,9,22
20,ذكر,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,معلم مـمارس,القنفذة,مكة المكرمة,التعاقد,1445,9,22
21,ذكر,سعودي,41-45,وزارة الخارجية,الدبلوماسيين,سكرتير ثاني,سكرتير ثاني,الرياض,الرياض,التعيين,1445,9,22
22,ذكر,سعودي,26-30,وزارة الشؤون الإسلامية والدعوة والإرشاد,لم يحدد,لم يحدد,كاتب,النماص,ابها,التعاقد,1445,9,22
23,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,ابها,ابها,التعاقد,1445,9,22
24,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,خميس  مشيط,ابها,التعاقد,1445,9,22
25,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,محايل عسير,ابها,التعاقد,1445,9,22
26,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,طبيب مقيم,الاحساء,الدمام,التعاقد,1445,9,22
27,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,طبيب مقيم,الاحساء,الدمام,التعاقد,1445,9,22
28,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,طبيب مقيم,ينبع,المدينةالمنورة,التعاقد,1445,9,22
29,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,سراه عبيده,ابها,التعاقد,1445,9,22
30,ذكر,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,الرياض,الرياض,التعاقد,1445,9,22
31,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,تبوك,تبوك,التعاقد,1445,9,22
32,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,تبوك,تبوك,التعاقد,1445,9,22
33,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,فني مختبر,المدينةالمنورة,المدينةالمنورة,التعاقد,1445,9,22
34,أنثى,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,كاتب,ابو عريش,جازان,التعاقد,1445,9,22
35,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,كاتب,ابو عريش,جازان,التعاقد,1445,9,22
36,ذكر,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,كاتب,احدالمسارحه,جازان,التعاقد,1445,9,22
37,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس كهربائي,الرياض,الرياض,التعاقد,1445,9,23
38,ذكر,سعودي,31-35,الإدارة العامة للخدمات الطبية للقوات المسلحة,لم يحدد,لم يحدد,فني,الرياض,الرياض,التعاقد,1445,9,23
39,ذكر,سعودي,20-25,الجامعة الإسلامية بالمدينة المنورة,أعضاء هيئة التدريس,معيد,معيد,المدينةالمنورة,المدينةالمنورة,التعيين,1445,9,23
40,ذكر,سعودي,26-30,الجامعة الإسلامية بالمدينة المنورة,لم يحدد,لم يحدد,معيد,المدينةالمنورة,المدينةالمنورة,التعاقد,1445,9,23
41,ذكر,سعودي,20-25,الجامعة الإسلامية بالمدينة المنورة,لم يحدد,لم يحدد,معيد,المدينةالمنورة,المدينةالمنورة,التعاقد,1445,9,23
42,أنثى,سعودي,20-25,جامعة الأمير سطام بن عبدالعزيز,أعضاء هيئة التدريس,معيد,معيد,الخرج,الرياض,التعيين,1445,9,23
43,أنثى,سعودي,20-25,جامعة الأميرة  نورة بنت عبدالرحمن,لم يحدد,لم يحدد,مساعد إداري,الرياض,الرياض,التعاقد,1445,9,23
44,ذكر,سعودي,26-30,جامعة الإمام محمد بن سعود,أعضاء هيئة التدريس,معيد,معيد,الرياض,الرياض,التعيين,1445,9,23
45,ذكر,سعودي,46-50,جامعة الملك عبدالعزيز,لم يحدد,لم يحدد,أستاذ مساعد,جدة,مكة المكرمة,التعاقد,1445,9,23
46,ذكر,سعودي,26-30,رئاسة أمن الدولة,الموظفين,السابعة,مهندس مدني مساعد,الرياض,الرياض,التعيين,1445,9,23
47,ذكر,سعودي,20-25,رئاسة أمن الدولة,الموظفين,السادسة,باحث معلومات مساعد,الرياض,الرياض,التعيين,1445,9,23
48,ذكر,سعودي,41-45,وزارة الاتصالات وتقنية المعلومات,المتعاقدين,متعاقد,وكيل الوزارة,الرياض,الرياض,التعاقد,1445,9,23
49,ذكر,سعودي,36-40,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,أخصائي أول تطوير أعمال,الرياض,الرياض,التعاقد,1445,9,23
50,ذكر,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,اخصائي ادارة المشاريع,الرياض,الرياض,التعاقد,1445,9,23
51,أنثى,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,خبير,الرياض,الرياض,التعاقد,1445,9,23
52,أنثى,سعودي,36-40,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1445,9,23
53,أنثى,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1445,9,23
54,أنثى,سعودي,26-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1445,9,23
55,أنثى,سعودي,36-40,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1445,9,23
56,أنثى,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1445,9,23
57,ذكر,سعودي,26-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1445,9,23
58,ذكر,سعودي,26-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل,الرياض,الرياض,التعاقد,1445,9,23
59,ذكر,سعودي,31-35,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,مدير مشروع,الرياض,الرياض,التعاقد,1445,9,23
60,ذكر,سعودي,36-40,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,مدير مشروع,الرياض,الرياض,التعاقد,1445,9,23
61,أنثى,سعودي,20-25,وزارة الشؤون الإسلامية والدعوة والإرشاد,لم يحدد,لم يحدد,مساعد إداري,الطائف,مكة المكرمة,التعاقد,1445,9,23
62,أنثى,سعودي,20-25,وزارة الصحة,الصحيين,أخصائي,أخصائية تمريض,ابها,ابها,التعيين,1445,9,23
63,أنثى,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,ابها,ابها,التعاقد,1445,9,23
64,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,البرك,ابها,التعاقد,1445,9,23
65,أنثى,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,خميس  مشيط,ابها,التعاقد,1445,9,23
66,أنثى,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,سراه عبيده,ابها,التعاقد,1445,9,23
67,أنثى,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,سراه عبيده,ابها,التعاقد,1445,9,23
68,أنثى,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,محايل عسير,ابها,التعاقد,1445,9,23
69,أنثى,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,محايل عسير,ابها,التعاقد,1445,9,23
70,ذكر,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,طبيب مقيم,الحره,المدينةالمنورة,التعاقد,1445,9,23
71,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,الموسم,جازان,التعاقد,1445,9,23
72,أنثى,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,كاتب,جازان,جازان,التعاقد,1445,9,23
73,ذكر,سعودي,31-35,أمانة المنطقة الشرقية,لم يحدد,لم يحدد,مراقب أسواق,الدمام,الدمام,التعاقد,1445,9,24
74,أنثى,سعودي,31-35,أمانة المنطقة الشرقية,لم يحدد,لم يحدد,مساعد إداري,الدمام,الدمام,التعاقد,1445,9,24
75,أنثى,سعودي,41-45,إمارة منطقة نجران,لم يحدد,لم يحدد,مساعد إداري,نجران,نجران,التعاقد,1445,9,24
76,ذكر,سعودي,20-25,الأمانة العامة لمجلس الوزراء,الموظفين,السادسة,أخصائي علوم سياسية مساعد,الرياض,الرياض,التعيين,1445,9,24
77,ذكر,سعودي,20-25,الأمانة العامة لمجلس الوزراء,الموظفين,السادسة,أخصائي علوم سياسية مساعد,الرياض,الرياض,التعيين,1445,9,24
78,ذكر,سعودي,20-25,الأمانة العامة لمجلس الوزراء,الموظفين,السادسة,أخصائي علوم سياسية مساعد,الرياض,الرياض,التعيين,1445,9,24
79,ذكر,سعودي,26-30,الأمانة العامة لمجلس الوزراء,الموظفين,السادسة,مساعد إداري ممارس ثاني,الرياض,الرياض,التعيين,1445,9,24
80,ذكر,سعودي,20-25,الأمانة العامة لمجلس الوزراء,الموظفين,السادسة,مساعد إداري ممارس ثاني,الرياض,الرياض,التعيين,1445,9,24
81,ذكر,سعودي,20-25,الأمانة العامة لمجلس الوزراء,الموظفين,السادسة,مساعد إداري ممارس ثاني,الرياض,الرياض,التعيين,1445,9,24
82,ذكر,سعودي,31-35,الجامعة الإسلامية بالمدينة المنورة,أعضاء هيئة التدريس,محاضر,محاضر,المدينةالمنورة,المدينةالمنورة,التعيين,1445,9,24
83,أنثى,سعودي,26-30,بلدية بارق,لم يحدد,لم يحدد,كاتب,بارق,ابها,التعاقد,1445,9,24
84,أنثى,"مقيم ",41-45,جامعة الجوف,لم يحدد,لم يحدد,أستاذ مساعد,الجوف,الجوف,التعاقد,1445,9,24
85,ذكر,"مقيم ",46-50,جامعة القصيم,لم يحدد,لم يحدد,أستاذ مساعد,بريده,بريده,التعاقد,1445,9,24
86,ذكر,سعودي,31-35,جامعة تبوك,لم يحدد,لم يحدد,طبيب مقيم,تبوك,تبوك,التعاقد,1445,9,24
87,أنثى,سعودي,26-30,جامعة طيبة,لم يحدد,لم يحدد,معيد,المدينةالمنورة,المدينةالمنورة,التعاقد,1445,9,24
88,ذكر,سعودي,36-40,رئاسة أمن الدولة,الموظفين,السابعة,مطور برامج,الرياض,الرياض,التعيين,1445,9,24
89,ذكر,سعودي,26-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل بيانات,الرياض,الرياض,التعاقد,1445,9,24
90,ذكر,سعودي,36-40,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل نظم أول,الرياض,الرياض,التعاقد,1445,9,24
91,أنثى,سعودي,31-35,وزارة التعليم,لم يحدد,لم يحدد,مساعد إداري,المدينةالمنورة,المدينةالمنورة,التعاقد,1445,9,24
92,أنثى,سعودي,20-25,وزارة الصحة,الصحيين,أخصائي,أخصائية تمريض,ابها,ابها,التعيين,1445,9,24
93,أنثى,"مقيم ",36-40,وزارة الصحة,المتعاقدين,متعاقد,أخصائي تمريض ممارس,الرياض,الرياض,التعاقد,1445,9,24
94,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,أخصائية تمريض,احد رفيده,ابها,التعاقد,1445,9,24
95,ذكر,سعودي,26-30,وزارة الصحة,لم يحدد,لم يحدد,طبيب مقيم,احد رفيده,ابها,التعاقد,1445,9,24
96,ذكر,سعودي,41-45,وزارة الصحة,لم يحدد,لم يحدد,طبيب مقيم,الوجه,تبوك,التعاقد,1445,9,24
97,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,خميس  مشيط,ابها,التعاقد,1445,9,24
98,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,الدمام,الدمام,التعاقد,1445,9,24
99,ذكر,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,طبيب نائب,جازان,جازان,التعاقد,1445,9,24
100,ذكر,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,فني دعم مساعد,ابها,ابها,التعاقد,1445,9,24
101,ذكر,سعودي,26-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,محلل تشغيل تقنية المعلومات أول,الرياض,الرياض,التعاقد,1445,9,25
102,ذكر,سعودي,20-25,وزارة الصحة,لم يحدد,لم يحدد,أمين مستودع,ابها,ابها,التعاقد,1445,9,25
103,ذكر,سعودي,36-40,وزارة الصحة,لم يحدد,لم يحدد,كاتب,محايل عسير,ابها,التعاقد,1445,9,25
104,ذكر,سعودي,31-35,الأمن العام,الموظفين,السادسة,مأمور تحري,الرياض,الرياض,التعيين,1445,9,26
105,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس ميكانيكي,الرياض,الرياض,التعاقد,1445,9,27
106,ذكر,سعودي,31-35,الأمانة العامة لمجلس الوزراء,المتعاقدين,متعاقد,مدير إدارة استقطاب المواهب,الرياض,الرياض,التعاقد,1445,9,28
107,أنثى,"مقيم ",41-45,جامعة الأمير سطام بن عبدالعزيز,لم يحدد,لم يحدد,أستاذ مساعد,الخرج,الرياض,التعاقد,1445,10,3
108,أنثى,"مقيم ",36-40,جامعة الأمير سطام بن عبدالعزيز,لم يحدد,لم يحدد,أستاذ مساعد,الخرج,الرياض,التعاقد,1445,10,4
109,أنثى,سعودي,36-40,أمانة المنطقة الشرقية,لم يحدد,لم يحدد,كاتب,الخبر,الدمام,التعاقد,1445,10,6
110,ذكر,سعودي,26-30,القوات البحرية,الموظفين,السادسة,مساعد مراجع,الرياض,الرياض,التعيين,1445,10,6
111,ذكر,سعودي,26-30,المؤسسة العامة للتدريب التقني والمهني,موظفي الجهات شبه الحكومية,التأمينات الاجتماعية لم يحدد 42,مساعد مبرمج,الرياض,الرياض,التعيين,1445,10,6
112,أنثى,سعودي,41-45,المديرية العامة لحرس الحدود,لم يحدد,لم يحدد,مساعد إداري,جازان,جازان,التعاقد,1445,10,6
113,ذكر,سعودي,26-30,المراسم الملكية,الموظفين,السابعة,فني دعم,الرياض,الرياض,التعيين,1445,10,6
114,أنثى,سعودي,26-30,المراسم الملكية,الموظفين,السابعة,مهندس معماري مساعد,الرياض,الرياض,التعيين,1445,10,6
115,ذكر,سعودي,20-25,المراسم الملكية,الموظفين,السادسة,أمين مراسم,الرياض,الرياض,التعيين,1445,10,6
116,ذكر,سعودي,26-30,المراسم الملكية,الموظفين,السادسة,أمين مراسم,الرياض,الرياض,التعيين,1445,10,6
117,أنثى,سعودي,26-30,المراسم الملكية,الموظفين,السادسة,مأمور قصر,الطائف,مكة المكرمة,التعيين,1445,10,6
118,ذكر,سعودي,20-25,بلدية ظهران الجنوب,لم يحدد,لم يحدد,كاتب,ظهران الجنوب,ابها,التعاقد,1445,10,6
119,أنثى,سعودي,31-35,جامعة الأميرة  نورة بنت عبدالرحمن,لم يحدد,لم يحدد,مسجل طلبه,الرياض,الرياض,التعاقد,1445,10,6
120,ذكر,"مقيم ",57-61,جامعة الإمام محمد بن سعود,لم يحدد,لم يحدد,أستاذ,الرياض,الرياض,التعاقد,1445,10,6
121,ذكر,سعودي,26-30,جامعة المجمعة,أعضاء هيئة التدريس,معيد,معيد,المجمعه,الرياض,التعيين,1445,10,6
122,أنثى,سعودي,31-35,جامعة نجران,لم يحدد,لم يحدد,محاضر,نجران,نجران,التعاقد,1445,10,6
123,ذكر,سعودي,31-35,رئاسة الإستخبارات العامة,الموظفين,الخامسة,مساعد إداري ممارس أول,الرياض,الرياض,التعيين,1445,10,6
