"رقم الموظف ",الجنس,الجنسية,"الفئة العمرية ",الجهة,الكادر الوظيفي,المرتبة الوظيفية,المسمى الوظيفي,المقر,المنطقة الإدارية,تصنيف العملية,السنة,الشهر,"اليوم "
1,أنثى,سعودي,36-40,أمانة حفر الباطن,لم يحدد,لم يحدد,كاتب,حفر الباطن,الدمام,التعاقد,1445,12,25
2,أنثى,سعودي,25-30,أمانة منطقة الرياض,المتعاقدين,متعاقد,أخصائي ذكاء أعمال,الرياض,الرياض,التعاقد,1445,12,25
3,ذكر,سعودي,46-50,أمانة منطقة الرياض,المتعاقدين,متعاقد,أخصائي ذكاء أعمال,الرياض,الرياض,التعاقد,1445,12,25
4,ذكر,سعودي,25-30,أمانة منطقة الرياض,المتعاقدين,متعاقد,مخطط مدن,الرياض,الرياض,التعاقد,1445,12,25
5,ذكر,سعودي,36-40,أمانة منطقة الرياض,المتعاقدين,متعاقد,مسؤول جودة وتميز مؤسسي,الرياض,الرياض,التعاقد,1445,12,25
6,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس إدارة  مشاريع,الرياض,الرياض,التعاقد,1445,12,25
7,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس إدارة  مشاريع,الرياض,الرياض,التعاقد,1445,12,25
8,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس إدارة  مشاريع,الرياض,الرياض,التعاقد,1445,12,25
9,ذكر,سعودي,36-40,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس إدارة  مشاريع,الرياض,الرياض,التعاقد,1445,12,25
10,ذكر,سعودي,25-30,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس تصميم مواقع,الرياض,الرياض,التعاقد,1445,12,25
11,أنثى,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس معماري,الرياض,الرياض,التعاقد,1445,12,25
12,ذكر,سعودي,31-35,أمانة منطقة الرياض,المتعاقدين,متعاقد,مهندس معماري,الرياض,الرياض,التعاقد,1445,12,25
13,أنثى,سعودي,36-40,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,رابغ,مكة المكرمة,التعيين,1445,12,25
14,ذكر,سعودي,36-40,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,جدة,مكة المكرمة,التعيين,1445,12,25
15,ذكر,سعودي,36-40,جامعة الملك فيصل,لم يحدد,لم يحدد,كاتب,الاحساء,الدمام,التعاقد,1445,12,25
16,أنثى,سعودي,41-45,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,مدير إدارة المشاريع الإلكترونية,الرياض,الرياض,التعاقد,1445,12,25
17,ذكر,سعودي,36-40,وزارة التعليم,المتعاقدين,متعاقد,مدير الاتصال المؤسسي,الرياض,الرياض,التعاقد,1445,12,25
18,ذكر,سعودي,36-40,وزارة الحج والعمرة,المتعاقدين,متعاقد,مدير عام قطاع,مكة المكرمة,مكة المكرمة,التعاقد,1445,12,25
19,ذكر,سعودي,46-50,وزارة الحج والعمرة,المتعاقدين,متعاقد,مشرف  تقنية المعلومات,مكة المكرمة,مكة المكرمة,التعاقد,1445,12,25
20,ذكر,سعودي,41-45,وزارة الرياضة,المتعاقدين,متعاقد,وكيل مساعد,الرياض,الرياض,التعاقد,1445,12,25
21,ذكر,"مقيم ",46-50,وزارة الصحة,المتعاقدين,متعاقد,طبيب استشاري,الطائف,مكة المكرمة,التعاقد,1445,12,25
22,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,فني تمريض,ابها,ابها,التعاقد,1445,12,25
23,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,ابها,ابها,التعاقد,1445,12,25
24,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,ابها,ابها,التعاقد,1445,12,25
25,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,ابها,ابها,التعاقد,1445,12,25
26,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,ابها,ابها,التعاقد,1445,12,25
27,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,احد رفيده,ابها,التعاقد,1445,12,25
28,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,خميس  مشيط,ابها,التعاقد,1445,12,25
29,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,خميس  مشيط,ابها,التعاقد,1445,12,25
30,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,خميس  مشيط,ابها,التعاقد,1445,12,25
31,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,خميس  مشيط,ابها,التعاقد,1445,12,25
32,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,خميس  مشيط,ابها,التعاقد,1445,12,25
33,أنثى,سعودي,36-40,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,خميس  مشيط,ابها,التعاقد,1445,12,25
34,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,خميس  مشيط,ابها,التعاقد,1445,12,25
35,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,الوديعه,نجران,التعاقد,1445,12,25
36,أنثى,سعودي,36-40,أمانة محافظة جدة,لم يحدد,لم يحدد,باحث قضايا مساعد,جدة,مكة المكرمة,التعاقد,1445,12,26
37,ذكر,سعودي,20-24,إمارة منطقة نجران,المستخدمين,الثانية والثلاثون,خوي,شروره,نجران,التعيين,1445,12,26
38,ذكر,"مقيم ",60 فاكثر,الجامعة الإسلامية بالمدينة المنورة,لم يحدد,لم يحدد,أستاذ مشارك,المدينةالمنورة,المدينةالمنورة,التعاقد,1445,12,26
39,أنثى,سعودي,36-40,جامعة نجران,لم يحدد,لم يحدد,أستاذ مساعد,نجران,نجران,التعاقد,1445,12,26
40,ذكر,سعودي,31-35,رئاسة الإستخبارات العامة,الموظفين,السادسة,مساعد إداري ممارس ثاني,الرياض,الرياض,التعيين,1445,12,26
41,ذكر,سعودي,25-30,وزارة البيئة والمياه والزراعة,المتعاقدين,متعاقد,اخصائي مساعد,الرياض,الرياض,التعاقد,1445,12,26
42,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,فني تمريض,ابها,ابها,التعاقد,1445,12,26
43,أنثى,سعودي,31-35,وزارة الصحة,لم يحدد,لم يحدد,فني تمريض,ابها,ابها,التعاقد,1445,12,26
44,أنثى,سعودي,25-30,وزارة الصحة,لم يحدد,لم يحدد,فنية تمريض,خميس  مشيط,ابها,التعاقد,1445,12,26
45,ذكر,سعودي,31-35,إمارة منطقة مكة المكرمة,الموظفين,الخامسة,رئيس مركز ( ب ),الطائف,مكة المكرمة,التعيين,1445,12,27
46,أنثى,سعودي,41-45,الأمن العام,الموظفين,السادسة,مفتشة نساء,المدينةالمنورة,المدينةالمنورة,التعيين,1445,12,27
47,أنثى,سعودي,31-35,جامعة الملك عبدالعزيز,أعضاء هيئة التدريس,أستاذ مساعد,أستاذ مساعد,جدة,مكة المكرمة,التعيين,1445,12,27
48,ذكر,سعودي,25-30,رئاسة الإستخبارات العامة,الموظفين,السادسة,باحث معلومات مساعد,الرياض,الرياض,التعيين,1445,12,27
49,ذكر,سعودي,25-30,رئاسة الإستخبارات العامة,الموظفين,السادسة,باحث معلومات مساعد,الرياض,الرياض,التعيين,1445,12,27
50,ذكر,سعودي,25-30,رئاسة الإستخبارات العامة,الموظفين,السادسة,باحث معلومات مساعد,الرياض,الرياض,التعيين,1445,12,27
